City,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nambucca,-30.6333,152.9833,70.83,86,76,3.24,AU,1706643164
1,roscommon,53.6333,-8.1833,41.11,76,100,11.54,IE,1706643164
2,pagsangahan,13.2158,122.5431,76.5,84,92,11.68,PH,1706643165
3,san pedro pochutla,15.7333,-96.4667,87.51,45,0,8.5,MX,1706643166
4,peace river,56.2501,-117.286,44.91,61,75,26.46,CA,1706643166
5,adamstown,-25.066,-130.1015,73.98,93,100,24.76,PN,1706643167
6,jodhpur,26.2867,73.03,67.69,34,100,3.6,IN,1706643167
7,puerto natales,-51.7236,-72.4875,63.05,67,100,20.71,CL,1706643168
8,carnarvon,-24.8667,113.6333,78.22,70,30,16.35,AU,1706643169
9,bardai,11.65,7.2333,71.65,20,58,11.34,NG,1706643169
10,puerto ayora,-0.7393,-90.3518,87.76,76,80,12.26,EC,1706643170
11,anadyr,64.75,177.4833,-23.01,74,0,4.47,RU,1706643170
12,edinburgh of the seven seas,-37.0676,-12.3116,58.21,60,50,13.27,SH,1706643171
13,pechora,65.1472,57.2244,15.85,94,100,14.0,RU,1706643001
14,camocim,-2.9022,-40.8411,85.23,69,0,16.4,BR,1706643172
15,qui nhon,13.7667,109.2333,69.19,93,60,6.44,VN,1706643172
16,ancud,-41.8697,-73.8203,63.45,74,24,8.97,CL,1706643173
17,yellowknife,62.456,-114.3525,14.52,92,100,13.8,CA,1706642890
18,waitangi,-43.9535,-176.5597,63.82,97,100,5.01,NZ,1706643174
19,katsuura,35.1333,140.3,49.03,68,11,6.67,JP,1706643174
20,blackmans bay,-43.0167,147.3167,59.13,74,100,6.98,AU,1706643175
21,georgetown,5.4112,100.3354,80.53,77,20,6.91,MY,1706643175
22,mount pearl,47.5166,-52.7813,22.96,80,100,23.02,CA,1706643176
23,bredasdorp,-34.5322,20.0403,68.29,79,100,10.2,ZA,1706643176
24,ilulissat,69.2167,-51.1,-9.38,49,20,12.66,GL,1706643177
25,asau,46.4333,26.4,25.72,83,8,5.44,RO,1706643178
26,hulan ergi,47.2042,123.6333,-7.08,87,77,8.37,CN,1706643178
27,chonchi,-42.6128,-73.8092,72.61,45,38,4.7,CL,1706643179
28,margate,51.3813,1.3862,46.31,89,100,3.0,GB,1706642582
29,olonets,60.9847,32.9698,15.8,97,87,3.0,RU,1706643180
30,rawson,-43.3002,-65.1023,86.9,30,0,8.79,AR,1706642884
31,grytviken,-54.2811,-36.5092,40.59,76,21,10.29,GS,1706643181
32,paide,58.8856,25.5572,32.5,93,100,5.82,EE,1706643182
33,avarua,-21.2078,-159.775,82.45,74,40,5.75,CK,1706643183
34,kingston,17.997,-76.7936,83.35,73,20,11.5,JM,1706643021
35,tiksi,71.6872,128.8694,-18.58,99,45,4.16,RU,1706643184
36,bethel,41.3712,-73.414,36.52,66,100,1.01,US,1706642884
37,lihue,21.9789,-159.3672,74.44,82,40,0.0,US,1706643185
38,tura,25.5198,90.2201,55.83,49,0,3.76,IN,1706643032
39,ghadamis,30.1337,9.5007,54.61,42,11,9.84,LY,1706643186
40,bossangoa,6.4926,17.4552,80.02,18,12,4.12,CF,1706643186
41,port elizabeth,-33.918,25.5701,74.32,80,40,2.3,ZA,1706643187
42,abeche,13.8292,20.8324,72.57,17,0,9.69,TD,1706643187
43,sable-sur-sarthe,47.8376,-0.3329,45.99,89,96,4.92,FR,1706643188
44,verkhnevilyuysk,63.4453,120.3167,-17.01,95,100,4.43,RU,1706643188
45,fuling,29.7022,107.3919,48.09,85,100,0.98,CN,1706643190
46,ushuaia,-54.8,-68.3,60.46,51,75,10.36,AR,1706643135
47,winston,28.0317,-82.0148,69.96,47,0,6.91,US,1706643192
48,fale old settlement,-9.3852,-171.2468,85.05,70,32,5.97,TK,1706643193
49,ochobo,7.183,7.9769,85.35,19,83,3.67,NG,1706643193
50,port mathurin,-19.6833,63.4167,81.14,78,100,18.37,MU,1706643194
51,kavaratti,10.5669,72.642,81.75,68,70,8.12,IN,1706643194
52,port-aux-francais,-49.35,70.2167,39.04,73,79,32.37,TF,1706643195
53,pelabuhanratu,-6.9875,106.5514,79.18,84,97,0.85,ID,1706643196
54,torreblanca,40.2203,0.1965,55.29,89,100,1.45,ES,1706643198
55,newman,37.3138,-121.0208,65.28,81,92,1.01,US,1706643199
56,aasiaat,68.7098,-52.8699,-26.79,99,61,9.62,GL,1706643200
57,olonkinbyen,70.9221,-8.7187,23.92,89,100,16.91,SJ,1706643201
58,ceeldheer,3.8488,47.1806,77.04,77,78,17.36,SO,1706643201
59,ash shatrah,31.4117,46.1742,60.49,35,7,8.77,IQ,1706643202
60,mokhsogollokh,61.4681,128.9203,-20.78,98,100,4.52,RU,1706643202
61,pemangkat,1.1667,108.9667,75.94,94,100,6.04,ID,1706643203
62,qaqortoq,60.7167,-46.0333,-6.38,73,61,9.24,GL,1706643203
63,ola,59.5833,151.2833,-17.84,88,27,8.03,RU,1706643204
64,jamestown,42.097,-79.2353,38.79,90,100,12.66,US,1706643204
65,invercargill,-46.4,168.35,56.01,87,39,1.01,NZ,1706643119
66,kodiak,57.79,-152.4072,0.91,66,0,6.91,US,1706643205
67,abatskoye,56.2875,70.4555,-0.36,98,88,7.05,RU,1706643144
68,puerto aysen,-45.4,-72.7,58.57,93,100,5.03,CL,1706643206
69,hangu,39.2489,117.7892,24.84,75,29,6.22,CN,1706643207
70,hamilton,39.1834,-84.5333,36.09,93,100,9.22,US,1706643162
71,jalai nur,49.45,117.7,-26.84,97,18,4.79,CN,1706643208
72,pandan,14.0453,124.1694,76.75,83,94,15.03,PH,1706643208
73,petropavlovsk-kamchatsky,53.0452,158.6483,4.46,94,75,8.95,RU,1706643055
74,punta arenas,-53.15,-70.9167,60.82,82,100,11.5,CL,1706643209
75,ribeira grande,38.5167,-28.7,63.0,82,20,12.66,PT,1706643210
76,kapa'a,22.0752,-159.319,75.18,82,40,5.99,US,1706643210
77,brisas de zicatela,15.8369,-97.0419,84.72,65,0,8.05,MX,1706643211
78,bayanhongor,46.7167,100.1167,-14.62,79,1,3.51,MN,1706643211
79,kourou,5.1552,-52.6478,86.05,78,77,9.66,GF,1706643212
80,zhalantun,48.0,122.7167,-18.27,87,7,7.92,CN,1706643212
81,howard springs,-12.497,131.047,78.82,87,75,6.35,AU,1706643213
82,guercif,34.2257,-3.3536,55.17,82,0,9.55,MA,1706643213
83,atafu village,-8.5421,-172.5159,84.7,69,68,5.82,TK,1706643214
84,barclayville,4.6797,-8.2339,80.4,81,94,5.68,LR,1706643214
85,loango,-4.6719,11.8312,83.86,89,20,3.44,CG,1706643215
86,acapulco de juarez,16.8634,-99.8901,85.82,62,75,6.91,MX,1706642941
87,manta,-0.95,-80.7333,82.0,74,100,13.0,EC,1706643216
88,constantia,44.1833,28.65,27.7,77,29,10.2,RO,1706643216
89,polatli,39.5772,32.1413,28.53,68,54,7.58,TR,1706643217
90,barra de santo antonio,-9.4047,-35.5072,87.08,66,0,10.63,BR,1706643217
91,lorengau,-2.0226,147.2712,81.81,82,100,10.74,PG,1706643218
92,holyhead,53.3062,-4.6321,44.6,70,8,12.66,GB,1706643218
93,neka,36.6508,53.299,44.11,81,100,9.22,IR,1706643218
94,hobyo,5.3505,48.5268,77.63,75,73,16.13,SO,1706643219
95,ridgecrest,35.6225,-117.6709,66.65,41,20,4.61,US,1706642940
96,iqaluit,63.7506,-68.5145,-4.27,64,40,11.5,CA,1706643198
97,sisimiut,66.9395,-53.6735,-7.2,77,100,17.78,GL,1706643221
98,salalah,17.0151,54.0924,77.09,73,0,3.44,OM,1706643221
99,longyearbyen,78.2186,15.6401,22.84,68,75,11.5,SJ,1706643222
100,sukhinichi,54.0999,35.3425,25.0,96,100,4.16,RU,1706643222
101,olyokminsk,60.3736,120.4264,-38.36,100,48,2.84,RU,1706643223
102,hithadhoo,-0.6,73.0833,81.7,76,100,6.11,MV,1706643223
103,mutoko,-17.397,32.2268,67.98,65,86,3.78,ZW,1706643224
104,taraz,42.9,71.3667,30.61,80,100,4.47,KZ,1706643224
105,bilibino,68.0546,166.4372,-27.27,99,100,0.67,RU,1706643224
106,keflavik,64.0049,-22.5624,28.83,93,75,29.93,IS,1706643225
107,hermanus,-34.4187,19.2345,70.81,75,88,10.69,ZA,1706643225
108,okhotsk,59.3833,143.3,-4.16,78,100,8.28,RU,1706643227
109,as sulayyil,20.4607,45.5779,73.65,53,100,6.04,SA,1706643228
110,north bend,43.4065,-124.2243,57.25,94,100,3.44,US,1706643228
111,holualoa,19.6228,-155.9522,72.77,92,100,13.8,US,1706643229
112,arkhangel'sk,64.5401,40.5433,32.13,80,75,8.95,RU,1706643229
113,tobelo,1.7284,128.0095,79.02,85,57,2.48,ID,1706643229
114,lompoc,34.6391,-120.4579,70.79,61,0,4.0,US,1706642734
115,vadso,70.0744,29.7487,37.56,75,40,32.21,NO,1706643230
116,zouerate,22.7187,-12.4521,69.28,9,0,8.25,MR,1706643231
117,vila velha,-20.3297,-40.2925,87.75,83,20,11.5,BR,1706643232
118,dahlonega,34.5326,-83.9849,57.33,46,3,5.26,US,1706643232
119,la ronge,55.1001,-105.2842,37.65,70,75,3.44,CA,1706643233
120,soio,-6.1349,12.3689,81.18,87,100,6.55,AO,1706643233
121,alice springs,-23.7,133.8833,84.22,21,99,9.22,AU,1706643234
122,port lincoln,-34.7333,135.8667,59.61,74,3,11.1,AU,1706643235
123,santa ana,33.7456,-117.8678,80.04,37,20,4.61,US,1706643236
124,nova sintra,14.8667,-24.7167,70.21,66,0,13.53,CV,1706643236
125,college,64.8569,-147.8028,-16.65,66,75,0.0,US,1706643237
126,santa lucia cotzumalguapa,14.3333,-91.0167,93.33,29,40,7.18,GT,1706643237
127,west island,-12.1568,96.8225,80.58,74,40,5.75,CC,1706643238
128,greymouth,-42.4667,171.2,62.51,66,0,4.09,NZ,1706643238
129,kayangel,8.0823,134.7173,81.1,81,70,23.71,PW,1706643239
130,hasaki,35.7333,140.8333,36.0,65,83,3.09,JP,1706643239
131,kingstown,13.1587,-61.2248,83.48,74,40,4.61,VC,1706643240
132,scarborough,54.2797,-0.4044,39.65,87,0,3.0,GB,1706643241
133,nema,57.5067,50.5011,28.89,86,52,14.88,RU,1706643242
134,brookings,44.3114,-96.7984,41.0,75,0,5.75,US,1706643243
135,queenstown,-31.8976,26.8753,68.76,86,100,1.48,ZA,1706643243
136,kyren,51.6828,102.1408,-10.05,87,32,1.01,RU,1706643244
137,port alfred,-33.5906,26.891,72.18,89,100,1.01,ZA,1706643244
138,ulsteinvik,62.3432,5.8487,41.13,65,68,11.99,NO,1706643245
139,arenapolis,-14.4503,-56.8461,95.36,37,74,2.3,BR,1706643246
140,udachny,66.4167,112.4,-21.24,100,98,2.53,RU,1706643246
141,neryungri,56.6709,124.6491,-32.78,99,99,4.05,RU,1706643247
142,timbuktu,16.7735,-3.0074,73.6,12,0,11.34,ML,1706643247
143,nemuro,43.3236,145.575,27.5,66,95,10.4,JP,1706643248
144,dakhla,23.6848,-15.958,68.02,73,0,13.8,EH,1706643249
145,paracuru,-3.41,-39.0306,85.1,70,5,13.35,BR,1706643249
146,isangel,-19.55,169.2667,69.91,88,85,5.75,VU,1706643250
147,klyuchi,52.2667,79.1667,-0.49,94,78,6.67,RU,1706643251
148,newnham,-41.3833,147.1333,51.67,87,100,2.3,AU,1706643252
149,ketchikan,55.3422,-131.6461,48.67,87,100,13.8,US,1706643253
150,telavi,41.9198,45.4731,28.92,79,100,2.42,GE,1706643253
151,tutoia,-2.7619,-42.2744,83.82,74,10,10.09,BR,1706643254
152,faya-largeau,17.9257,19.1043,65.3,26,60,21.14,TD,1706643254
153,calchaqui,-29.8877,-60.287,91.99,37,0,3.31,AR,1706643255
154,kirkland lake,48.1446,-80.0377,28.69,86,100,6.91,CA,1706643255
155,enewetak,11.3474,162.3373,79.38,72,95,19.91,MH,1706643256
156,iskateley,67.6803,53.1512,27.01,93,96,15.01,RU,1706643257
157,srandakan,-7.9386,110.2506,77.25,86,92,3.62,ID,1706643258
158,moose jaw,50.4001,-105.5344,53.87,50,20,29.93,CA,1706643017
159,labrador city,52.9463,-66.9114,10.31,37,0,12.66,CA,1706643010
160,cabedelo,-6.9811,-34.8339,88.47,70,1,12.82,BR,1706643260
161,buka,40.8108,69.1986,36.05,78,99,4.25,UZ,1706643260
162,balnearia,-31.0088,-62.6673,99.75,20,0,11.34,AR,1706643261
163,egilsstadir,65.2653,-14.3948,31.91,74,75,6.91,IS,1706643262
164,poyang,28.9924,116.6675,54.45,95,100,2.75,CN,1706643262
165,wailua homesteads,22.0669,-159.378,73.83,82,40,5.99,US,1706643207
166,fortuna,40.5982,-124.1573,70.93,40,0,23.02,US,1706643263
167,yaren,-0.5472,166.916,84.07,69,100,14.99,NR,1706643264
168,smithers,54.7804,-127.1743,44.92,70,40,5.75,CA,1706643264
169,whitehorse,60.7161,-135.0538,36.37,80,40,12.66,CA,1706643161
170,motygino,58.1831,94.7592,-23.22,99,7,4.0,RU,1706643265
171,saint-joseph,-21.3667,55.6167,77.38,85,25,10.45,RE,1706643266
172,papao,-17.75,-149.55,85.68,84,100,6.85,PF,1706643267
173,quepos,9.4236,-84.1652,88.05,61,18,7.34,CR,1706643267
174,belmonte,-15.8631,-38.8828,82.15,75,40,11.27,BR,1706643268
175,levuka,50.1834,-105.4011,53.33,54,20,29.93,CA,1706643269
176,ta`u,-14.2336,-169.5144,83.82,77,92,7.52,AS,1706643269
177,thenzawl,23.3167,92.75,47.8,56,100,3.0,IN,1706643270
178,tazovsky,67.4667,78.7,-3.08,93,98,15.55,RU,1706643270
179,navrongo,10.8956,-1.0921,83.46,15,75,7.63,GH,1706643271
180,happy valley-goose bay,53.3168,-60.3315,8.91,36,20,18.41,CA,1706643271
181,haiku-pauwela,20.9219,-156.3051,77.16,83,40,14.97,US,1706643272
182,tupa,-21.9347,-50.5136,93.99,22,98,13.27,BR,1706643272
183,cockburn town,21.4612,-71.1419,74.5,58,3,14.23,TC,1706643273
184,albany,42.6001,-73.9662,33.51,79,100,1.01,US,1706643273
185,tangalle,6.024,80.7911,75.78,91,13,5.44,LK,1706643274
186,margaret river,-33.95,115.0667,58.15,87,3,9.19,AU,1706643274
187,lethbridge,49.7,-112.8186,58.17,58,75,23.02,CA,1706643004
188,chiredzi,-21.05,31.6667,76.06,46,7,8.77,ZW,1706643275
189,dudinka,69.4058,86.1778,1.67,85,92,21.99,RU,1706643276
190,inarajan village,13.2736,144.7484,78.94,76,45,23.62,GU,1706643276
191,acarau,-2.8856,-40.12,84.76,69,0,16.84,BR,1706643277
192,remire-montjoly,4.9167,-52.2667,86.04,74,75,12.66,GF,1706643277
193,sidhi,24.4167,81.8833,58.82,50,100,3.27,IN,1706643278
194,olinda,-8.0089,-34.8553,85.73,70,20,10.36,BR,1706643278
195,angel r. cabada,18.5833,-95.4333,72.23,65,79,8.57,MX,1706643279
196,kirakira,-10.4544,161.9205,79.57,87,100,12.12,SB,1706643279
197,kaffrine,14.1059,-15.5508,84.31,10,100,7.4,SN,1706643280
198,evergreen,39.6333,-105.3172,56.68,26,1,4.0,US,1706643280
199,praia da vitoria,38.7333,-27.0667,61.05,88,40,11.21,PT,1706643281
200,san patricio,28.017,-97.5169,71.46,41,100,3.85,US,1706643281
201,mejit,10.2753,170.8646,79.38,78,100,23.85,MH,1706643282
202,fish town,5.1964,-7.8756,78.53,79,51,6.35,LR,1706643282
203,isafjordur,66.0755,-23.124,26.02,79,100,11.77,IS,1706643283
204,nha trang,12.25,109.1833,75.2,93,91,5.82,VN,1706643283
205,anse la raye,13.9333,-61.0333,83.89,72,20,10.36,LC,1706643284
206,tougue,11.4667,-11.6,76.24,15,99,3.33,GN,1706643284
207,songjianghe,42.1859,127.479,19.67,94,100,6.26,CN,1706643075
208,talas,38.6908,35.5538,29.07,64,0,13.8,TR,1706643285
209,sao paulo de olivenca,-3.3783,-68.8725,89.08,66,100,2.77,BR,1706643286
210,namie,37.4833,141.0,38.97,71,8,5.06,JP,1706643287
211,barra,-11.0894,-43.1417,85.17,58,58,4.36,BR,1706643287
212,usogorsk,63.4106,48.6872,26.67,89,93,7.99,RU,1706643288
213,port saint john's,-31.6229,29.5448,73.71,91,99,1.1,ZA,1706643289
214,palu,-0.8917,119.8707,76.05,96,79,1.9,ID,1706643289
215,aras-asan,8.8908,126.3033,78.04,89,100,9.95,PH,1706643290
216,puerto baquerizo moreno,-0.9,-89.6,79.79,89,75,9.22,EC,1706643290
217,cidreira,-30.1811,-50.2056,77.86,62,0,13.24,BR,1706643291
218,eldorado,-23.7869,-54.2836,96.71,23,1,8.88,BR,1706643292
219,new norfolk,-42.7826,147.0587,60.3,77,100,3.44,AU,1706643292
220,borgarnes,64.5383,-21.9206,28.45,66,100,21.18,IS,1706643293
221,ouadda,8.0777,22.4007,72.43,25,100,5.44,CF,1706643293
222,zaragoza,41.6561,-0.8773,55.02,77,100,4.61,ES,1706643113
223,papatowai,-46.5619,169.4708,57.7,73,71,7.16,NZ,1706643294
224,axim,4.8699,-2.2405,80.58,80,9,8.48,GH,1706643295
225,vilyuchinsk,52.9306,158.4028,5.94,78,97,8.12,RU,1706643295
226,misratah,32.3754,15.0925,58.51,49,61,19.08,LY,1706643296
227,uturoa,-16.7333,-151.4333,83.53,75,100,7.2,PF,1706643296
228,plettenberg bay,-34.0527,23.3716,68.11,89,100,4.92,ZA,1706643297
229,tupiza,-21.45,-65.7167,69.8,42,90,16.17,BO,1706643297
230,norman,35.2226,-97.4395,65.91,45,0,10.36,US,1706642656
231,emerald,-23.5333,148.1667,76.33,95,100,5.99,AU,1706643298
232,semnan,35.5729,53.3971,38.25,61,95,5.57,IR,1706643299
233,akureyri,65.6835,-18.0878,28.33,80,75,4.61,IS,1706643299
234,hue,16.4667,107.6,69.91,88,75,1.14,VN,1706643163
235,calvinia,-31.4707,19.776,76.26,33,91,6.29,ZA,1706643300
236,catio,11.2833,-15.25,75.99,68,100,7.11,GW,1706643301
237,arraial do cabo,-22.9661,-42.0278,82.36,78,75,11.5,BR,1706643301
238,stanley,54.868,-1.6985,39.52,84,20,8.05,GB,1706643302
239,sur,22.5667,59.5289,74.17,72,93,4.9,OM,1706643303
240,mogocha,53.7333,119.7667,-11.81,97,100,3.18,RU,1706643303
241,high rock,26.6208,-78.2833,69.82,57,100,4.27,BS,1706643304
242,pisco,-13.7,-76.2167,82.02,65,0,8.05,PE,1706643305
243,armacao de buzios,-22.7469,-41.8817,86.05,87,100,8.01,BR,1706643221
244,badger,64.8,-147.5333,-16.73,70,75,0.0,US,1706643306
245,laguna,38.421,-121.4238,71.31,73,0,5.75,US,1706643307
246,vorgashor,67.5833,63.95,8.13,95,100,11.03,RU,1706643307
247,carutapera,-1.195,-46.02,84.49,70,86,6.98,BR,1706643308
248,naini tal,29.3974,79.4469,32.59,57,0,4.47,IN,1706643308
249,mae hong son,19.3003,97.9685,61.36,92,7,1.14,TH,1706643309
250,sambava,-14.2667,50.1667,78.33,87,99,12.1,MG,1706643310
251,aykhal,66.0,111.5,-13.49,100,99,3.53,RU,1706643310
252,morbi,22.8167,70.8333,69.94,70,72,9.82,IN,1706643311
253,miles city,46.4083,-105.8406,45.57,65,0,6.91,US,1706643312
254,penzance,50.1186,-5.5371,39.88,62,99,4.27,GB,1706643229
255,eregli,37.5133,34.0467,31.98,70,71,3.27,TR,1706643313
256,bodo,67.28,14.405,42.84,65,75,34.52,NO,1706643314
257,berdigestyakh,62.0989,126.6992,-17.12,98,100,5.21,RU,1706643314
258,sbiba,35.5433,9.0737,48.7,68,10,4.63,TN,1706643315
259,bingerville,5.3584,-3.8869,83.34,79,10,10.36,CI,1706643315
260,val-d'or,48.1002,-77.7828,26.69,86,100,14.97,CA,1706643203
261,saldanha,-33.0117,17.9442,65.12,88,30,12.93,ZA,1706643316
262,fort-shevchenko,44.5086,50.263,31.75,63,100,17.2,KZ,1706643317
263,letlhakeng,-24.0944,25.0298,77.7,49,100,4.16,BW,1706643317
264,pinotepa nacional,16.3167,-98.0167,89.04,37,71,9.82,MX,1706643120
265,codrington,-38.2667,141.9667,56.25,81,2,7.36,AU,1706643319
266,taltal,-25.4,-70.4833,73.8,69,23,8.61,CL,1706643319
267,prades,42.5833,2.1667,43.07,48,94,2.04,FR,1706643320
268,qarauyl,48.9451,79.255,11.23,82,100,8.55,KZ,1706643320
269,nishon tumani,38.694,65.6751,35.85,93,40,4.61,UZ,1706643321
270,kenai,60.5544,-151.2583,-1.86,85,20,4.61,US,1706643322
271,gudari,19.35,83.7833,64.56,80,31,0.34,IN,1706643322
272,okondja,-0.6549,13.6753,79.88,63,100,2.28,GA,1706643323
273,yenisehir,40.2644,29.6531,33.85,93,40,2.3,TR,1706643323
274,knyaze-volkonskoye,48.4642,135.4567,-12.66,97,97,4.16,RU,1706643324
275,ad dabbah,18.05,30.95,62.85,25,42,11.65,SD,1706643325
276,saurimo,-9.6608,20.3916,66.76,96,100,3.85,AO,1706643325
277,basco,20.4487,121.9702,75.15,73,28,21.36,PH,1706643326
278,yuzhno-kurilsk,44.0306,145.8556,28.38,71,49,11.25,RU,1706643326
279,saint-francois,46.4154,3.9054,46.65,88,0,2.3,FR,1706643327
280,revda,56.801,59.9303,18.37,94,100,8.39,RU,1706643327
281,merizo village,13.2658,144.6691,78.53,76,45,23.67,GU,1706643328
282,mana,5.6592,-53.7767,82.85,71,28,10.38,GF,1706643328
283,thompson,55.7435,-97.8558,37.56,81,75,3.44,CA,1706643329
284,alofi,-19.0595,-169.9187,82.11,87,98,15.01,NU,1706643329
285,kharkhorin,47.1975,102.8238,-14.96,96,15,3.62,MN,1706643330
286,argo,37.6333,22.7333,38.52,94,95,5.95,GR,1706643330
287,hawaiian paradise park,19.5933,-154.9731,82.9,69,0,1.01,US,1706643331
288,katsuren-haebaru,26.3369,127.8719,70.18,75,100,5.75,JP,1706643331
289,marquelia,16.5833,-98.8167,83.32,65,100,8.46,MX,1706643332
290,manay,7.215,126.5397,76.6,96,100,6.98,PH,1706643332
291,sechura,-5.5569,-80.8222,83.61,64,89,16.26,PE,1706643333
